RouteCode,RouteStart,RouteEnd
708,MONTE MOR (TERMINAL RODOVIARIO VEREADOR GERALDO BENINI),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
708BI1,MONTE MOR (JARDIM SAO SEBASTIAO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
708BI2,MONTE MOR (JARDIM PAULISTA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
709,MONTE MOR (TERMINAL RODOVIARIO DE MONTE MOR),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
709EX1,MONTE MOR (JARDIM CAPUAVINHA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
714,JAGUARIUNA (DISTRITO INDUSTRIAL),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
715,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
719,JAGUARIUNA (TERMINAL RODOVIARIO DE JAGUARIUNA),SANTO ANTONIO DE POSSE (CENTRO)
724,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (UNICAMP)
727,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (JARDIM CAMPINEIRO)
727EX1,VINHEDO (TERMINAL RODOVIARIO DE VINHEDO),CAMPINAS (SHOPPING PARQUE DOM PEDRO I)
734,SANTO ANTONIO DE POSSE (CENTRO),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
736,ARTUR NOGUEIRA (CORACAO CRIANCA),HOLAMBRA (CENTRO)
737,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),HOLAMBRA (CENTRO)
738,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),VINHEDO (TERMINAL RODOVIARIO DE VINHEDO)
738VP1,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (AEROPORTO INTERNACIONAL DE VIRACOPOS)
739,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),CAMPINAS (CAMPINAS SHOPPING CENTER)
740,SUMARE (JARDIM JOAO PAULO II),CAMPINAS (CAMPINAS SHOPPING CENTER)
741,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
742,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),CAMPINAS (TERMINAL CAMPO GRANDE)
744,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA)
745,HORTOLANDIA (TERMINAL METROPOLITANO DE HORTOLANDIA),MONTE MOR (TERMINAL RODOVIARIO DE MONTE MOR)
746,HORTOLANDIA (TERMINAL METROPOLITANO HORTOLANDIA),CAMPINAS (UNICAMP)
749,SUMARE (TERMINAL RODOVIARIO DE SUMARE),AMERICANA (TERMINAL METROPOLITANO DE AMERICANA)
750,SANTA BARBARA D OESTE (RODOTERMINAL DE SANTA BARBARA D OESTE),AMERICANA ( TERMINAL METROPOLITANO DE AMERICANA)
751,SUMARE (CEPAP),HORTOLANDIA (JARDIM AMANDA)
752,HORTOLANDIA (NOVA AMERICA),SUMARE (CECAP)
755,SUMARE (CECAP),HORTOLANDIA (JARDIM MINDA)
756,SUMARE (CECAP),NOVA ODESSA (MARAJUARA)
758,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),MORUNGABA (BAIRRO BUENOPOLIS)
800,MOGI DAS CRUZES (TERMINAL RODOVIARIO GERALDO SCAVONE),GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO)
802,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO TUCURUVI)
806,ITAPECERICA DA SERRA (JARDIM MONTEZANO),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS)
807,ARUJA (PARQUE RODRIGO BARRETO),SAO PAULO (METRO ARMENIA)
808,JUQUITIBA (FAZENDA SAMA),ITAPECERICA DA SERRA (VALO VELHO)
809,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (ALDEIA DA SERRA)
810,SANTA ISABEL (JARDIM ELDORADO),ARUJA (CENTRO)
811,EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO)
814,BARUERI (VALE DO SOL),SANTANA DE PARNAIBA (RESIDENCIAL BURLE MARX)
815,ITAPEVI (CIDADE DA SAUDE),EMBU DAS ARTES (CENTRO)
816,ARUJA (CENTRO),SAO PAULO (METRO ARMENIA)
818,BARUERI (ALPHAVILLE),SAO PAULO (METRO ARMENIA)
819,OSASCO (TERMINAL SANTA MARIA),BARUERI (ALPHAVILLE 3 / BRADESCO)
820,SANTA ISABEL (JARDIM ELDORADO),SAO PAULO (METRO ARMENIA)
821,BARUERI (SHOPPING TAMBORE),COTIA (JARDIM ROSEMARY)
822,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (METRO PARADA INGLESA)
823,OSASCO (RECANTO DAS ROSAS),SAO PAULO (METRO VILA SONIA)
824,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (CENTRO)
824VP1,PIRAPORA DO BOM JESUS (PARQUE PAIOL),BARUERI (CENTRO)
826,POA (TERMINAL RODOVIARIO PEDRO FAVA - CIDADE KEMEL),GUARULHOS (CENTRO)
827,SANTANA DE PARNAIBA (TERMINAL RODOVIARIO DA FAZENDINHA),SAO PAULO (METRO PARAISO)
828,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE)
829,ITAPECERICA DA SERRA (PARQUE PARAISO),TABOAO DA SERRA (CENTRO)
831,CARAPICUIBA (JARDIM PLANALTO),BARUERI (ALPHAVILLE)
833,ITAPEVI (COHAB),SANTANA DE PARNAIBA (COLINAS DA ANHANGUERA)
834,TABOAO DA SERRA (JARDIM SAINT MORITZ),SAO PAULO (METRO CAMPO LIMPO)
835,SAO PAULO (METRO VILA SONIA),BARUERI (ALPHAVILLE/GREEN VALLEY)
836,SUZANO (JARDIM BOA VISTA),ITAQUAQUECETUBA ( ESTACAO CPTM ARACARE)
838,SAO PAULO (METRO MORUMBI),BARUERI (ALPHAVILLE / GREEN VALLEY)
838EX1,SAO PAULO (METRO MORUMBI),BARUERI (ALPHAVILLE / GREEN VALLEY)
840,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),SAO PAULO (METRO BUTANTA)
841,EMBU DAS ARTES (JARDIM VALO VERDE),SAO PAULO (METRO VILA SONIA)
842,COTIA (MIRANTE DA MATA),SAO PAULO (METRO MORUMBI)
843,POA (JARDIM NOVA POA),SUZANO (ESTACAO CPTM SUZANO)
845,TABOAO DA SERRA (CONDOMINIO JOAO CANDIDO),SAO PAULO (METRO CAMPO LIMPO)
850,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),SAO PAULO (LAPA)
850EX1,OSASCO (TERMINAL METROPOLITANO  LUIZ BORTOLOSSO - KM 21),SAO PAULO (LAPA)
852,FRANCISCO MORATO (CENTRO),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO DA FAZENDINHA)
855,DIADEMA (TABOAO),SAO PAULO (JABAQUARA)
900,SAO VICENTE (JOQUEI CLUB),SANTOS (CENTRO)
901,SAO VICENTE (VILA MARGARIDA),SANTOS (CENTRO)
901BI1,SAO VICENTE (ESPLANADA DOS BARREIROS),SANTOS (CENTRO)
902,SAO VICENTE (CONJUNTO TANCREDO NEVES),SANTOS (CENTRO)
903,SAO VICENTE (JAPUI),SANTOS (PRACA DOS ANDRADAS)
904,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TUDE BASTOS),SANTOS (CENTRO)
905,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),SAO VICENTE (TERMINAL BARREIROS)
906,CUBATAO (FABRIL),SANTOS (PONTA DA PRAIA)
907,SAO VICENTE (CONJUNTO TANCREDO NEVES),SANTOS (CENTRO)
908,SAO VICENTE (PARQUE BITARU),SANTOS (PONTA DA PRAIA)
909,GUARUJA (FERRY BOAT),CUBATAO (JARDIM CASQUEIRO)
910,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),SANTOS (TERMINAL RODOVIARIO DE SANTOS)
911,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS)
911DV1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS)
912,PRAIA GRANDE (TERM. ROD. E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS)
912BI1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (CENTRO)
912DV1,PRAIA GRANDE (TERM.ROD. E URBANO TATICO FRANCISCO GOMES DA SILVA),CUBATAO (USIMINAS)
913,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),CUBATAO (USIMINAS)
914,SAO VICENTE (HUMAITA),CUBATAO (USIMINAS)
915,SAO VICENTE (NAUTICA III),SANTOS (CANAL 4)
917,CUBATAO (USIMINAS),SANTOS (PONTA DA PRAIA)
918,CUBATAO (JARDIM  CARAGUATA),SANTOS (PONTA DA PRAIA)
919,CUBATAO (JARDIM NOVA REPUBLICA),SANTOS (PONTA DA PRAIA)
921,ITANHAEM (TERMINAL RODOVIARIO DE ITANHAEM),SANTOS (TERMINAL RODOVIARIO DE SANTOS)
925,SAO VICENTE (NAUTICA III),SANTOS (CENTRO)
927,PRAIA GRANDE (JARDIM SAMAMBAIA),SANTOS (PONTA DA PRAIA)
928,SAO VICENTE (HUMAITA),PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TUDE BASTOS)
929,BERTIOGA (RIVIERA DE SAO LOURENCO),GUARUJA (TERMINAL FERRY BOAT)
930,GUARUJA (FERRY BOAT),BERTIOGA (RIVIERA DE SAO LOURENCO)
931,PRAIA GRANDE (JARDIM SAMAMBAIA),SANTOS (PAQUETA)
932,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PAQUETA)
933,SAO VICENTE (HUMAITA),SANTOS (PAQUETA)
933BI1,SAO VICENTE (PARQUE CONTINENTAL),SANTOS (PAQUETA)
933DV1,SAO VICENTE (HUMAITA),SANTOS (PAQUETA)
934,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),SANTOS (PAQUETA)
934EX1,PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA),SANTOS (PAQUETA)
936,CUBATAO (COTA 200),SANTOS (PONTA DA PRAIA)
937,PRAIA GRANDE (TERM ROD. URB. TATICO FRANCISCO GOMES DA SILVA),SAO VICENTE (SAMARITA)
938,CUBATAO (VILA ESPERANCA),SAO VICENTE (ITARARE)
939,SAO VICENTE (PARQUE CONTINENTAL),SANTOS (PAQUETA)
940,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA)
941,PRAIA GRANDE (JARDIM MELVI),SANTOS (CONJUNTO ATHIE JORGE CURY)
942,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA)
942VP1,SAO VICENTE (RIO BRANCO),SANTOS (PONTA DA PRAIA)
943,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PONTA DA PRAIA)
944,SANTOS (JARDIM RADIO CLUBE),SANTOS (BOQUEIRAO)
945,SAO VICENTE (PARQUE DAS BANDEIRAS),CUBATAO (USIMINAS)
947,SAO VICENTE (HUMAITA),SANTOS (PONTA DA PRAIA)
947VP1,SAO VICENTE (RIO BRANCO),SANTOS (PONTA DA PRAIA)
948,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),SANTOS (PONTA DA PRAIA)
949,GUARUJA (FERRY BOAT),SANTOS (CARUARA)
949DV1,GUARUJA (FERRY BOAT),SANTOS (CARUARA)
950,SAO VICENTE (PARQUE DAS BANDEIRAS GLEBA II),CUBATAO (CENTRO)
951,GUARUJA (CENTRO),SANTOS (MONTE CABRAO)
952,SAO VICENTE (NAUTICA III),SANTOS (PONTA DA PRAIA)
953,SAO VICENTE (TERMINAL BARREIROS),SANTOS (TERMINAL PORTO)
954,CUBATAO (RESIDENCIAL VALE VERDE),SANTOS (PAQUETA)
955,PERUIBE (TERMINAL RODOVIARIO DE PERUIBE),PRAIA GRANDE (TERMINAL RODOVIARIO E URBANO TATICO FRANCISCO GOMES DA SILVA)
961,SANTOS (CARUARA),BERTIOGA (RIVIERA DE SAO LOURENCO)
