RouteCode,RouteStart,RouteEnd,llm_generated
5303,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),"oi, como eu faco pra ir do terminal rodoviario de roseira pra pindamonhangaba?"
5304,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),LORENA (TERMINAL RODOVIARIO DE LORENA),"oi, como eu faco pra chegar em lorena saindo do terminal rodoviario de piquete?"
5304PR1,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),LORENA (CENTRO - ETEC),como eu faco pra sair do terminal rodoviario de piquete e ir ate a escola de educacao tutorial (lorena)?
5304PR2,PIQUETE (IMBEL),LORENA (TERMINAL RODOVIARIO DE LORENA),como eu faco pra ir do piquete (imbel) ate a terminal rodoviario de lorena?
5305,LORENA (TERMINAL RODOVIARIO DE LORENA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar em sao jose dos campos saindo da lorena?
5306,LORENA (TERMINAL RODOVIARIO DE LORENA),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra ir do terminal rodoviario de lorena ate o terminal rodoviario novo de taubate?"
5306VP1,LORENA (TERMINAL RODOVIARIO DE LORENA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),"oi, como eu faco pra chegar na aparecida saindo do terminal rodoviario de lorena?"
5307,PIQUETE (TERMINAL RODOVIARIO DE PIQUETE),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra ir do terminal rodoviario piquete ate o terminal rodoviario cruzeiro?"
5308,POTIM (MIGUEL VIEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),como eu faco pra sair do potim e chegar na aparecida?
5308VP1,POTIM (MINAS GERAIS),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),"como eu faco pra chegar na aparecida, saindo de potim?"
5309,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra chegar no terminal rodoviario de cruzeiro saindo de cachoeira paulista?"
531,ITAPECERICA DA SERRA (RECREIO PRIMAVERA),SAO PAULO (METRO CAPAO REDONDO),como eu faco pra chegar em sao paulo saindo de itapecerica da serra?
5310,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA ),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra chegar no cruz saindo da cachoeira paulista?"
5311,GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),"oi, como eu faco pra chegar no terminal rodoaviario de pindamonhangaba a partir do terminal rodoviario de guaratingueta?"
5312,LORENA (TERMINAL RODOVIARIO DE LORENA),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),"oi, como eu faco pra chegar em guaratingueta saindo do terminal rodoviario de lorena?"
5313,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),LORENA (TERMINAL RODOVIARIO DE LORENA),"oi, tudo bem? preciso saber como chego de cachoeira paulista ate a lorena?"
5313DV1,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),LORENA (TERMINAL RODOVIARIO DE LORENA),"oi, como eu faco pra chegar na lorena saindo da cachoeira paulista?"
5316,APARECIDA (CENTRO),GUARATINGUETA (CENTRO),"oi, como eu faco pra ir do centro para guaratingueta?"
5317,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),como eu faco pra chegar na aparecida saindo do terminal rodoviario de roseira?
5317DV1,ROSEIRA (TERMINAL RODOVIARIO DE ROSEIRA),APARECIDA (TERMINAL RODOVIARIO DE APARECIDA),"oi, como eu faco pra chegar do terminal rodoaviario de roseira ate a aparecida?"
5318,POTIM (LOTEAMENTO DOS VIEIRAS),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),como eu faco pra chegar no terminal rodoviario de guarantuatuza a partir do potim?
5319,CUNHA (TERMINAL RODOVIARIO DE CUNHA),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),"oi, como eu faco pra chegar no terminal rodoviario de guaratingueta?"
532,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra ir do terminal metropolitano taboa ate o metro tucuruvi?"
5320,CANAS (CENTRO),LORENA (TERMINAL RODOVIARIO DE LORENA),"oi, como eu faco pra chegar em lorena saindo da canas?"
533,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),BARUERI (PARQUE IMPERIAL),como eu faco pra chegar do jandira (jardim nossa senhora de fatima) em barueri?
534,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),SANTANA DE PARNAIBA (GENESIS II),"oi, como eu faco pra chegar de jandira na santana de paraniba?"
535,GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no parque continental iii saindo de guarulhos?
536,FRANCO DA ROCHA (CENTRO),CAIEIRAS (VILA DOS PINHEIROS),"oi, como eu faco pra chegar em cairias, comecando aqui em franco da rocha?"
537,ARUJA (PARQUE RODRIGO BARRETO),GUARULHOS (JARDIM SANTA MENA),como eu faco pra chegar do parque rodrigo barreto em guarulhos?
538,ARUJA (CENTRO),GUARULHOS (AEROPORTO INTERNACIONAL DE SAO PAULO),"oi, como eu faco pra chegar em guarulhos partindo de aruja?"
540,BARUERI (ALDEIA DA SERRA),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra chegar de barueri (aldeia da serra) no terminal metropolitano de cotia?
5401,CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar do cruzeiro ate o sao jose dos campos?
5402,BANANAL (TERMINAL RODOVIARIO AQUINO CARVALHO DOS SANTOS),GUARATINGUETA (TERMINAL RODOVIARIO DE GUARATINGUETA),"oi, tudo bem? preciso saber como chego de bananal (terminal rodoviario aquino carvalho dos santos) em guaratingueta?"
5403,AREIAS (CENTRO),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"como eu faco pra chegar no cruzeiro de cruzio, comecando aqui em areias?"
5404,QUELUZ (TERMINAL RODOVIARIO DE QUELUZ),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra sair do terminal rodoviario de queluz e chegar no terminal rodoviario de cruzeiro?"
5404PR1,QUELUZ (TERMINAL RODOVIARIO DE QUELUZ),CRUZEIRO (VILA BRASIL),como eu faco pra ir do terminal rodoviario de queluz ate a vila brasil?
5405,LAVRINHAS (CAPELA DO JACU),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),como eu faco pra chegar de lavrinhas (capela do jacel) ate o cruzeiro (terminal rodoviario de cruzeiro)?
5406,CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra sair do cruzeiro e chegar em saao jose?"
5407,LORENA (TERMINAL RODOVIARIO DE LORENA),CRUZEIRO (TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra chegar no cruzeiro saindo do terminal rodoaviario de lorena?"
5407VP1,LORENA (TERMINAL RODOVIARIO DE LORENA),CACHOEIRA PAULISTA (BAIRRO MARGEM ESQUERDA),"oi, como eu faco pra chegar na cachoeira paulista saindo do terminal rodoviario de lorea?"
5407VP2,CACHOEIRA PAULISTA (TERMINAL RODOVIARIO DE CACHOEIRA PAULISTA),CRUZEIRO ((TERMINAL RODOVIARIO DE CRUZEIRO),"oi, como eu faco pra ir do terminal rodoviario de cachoeira paulista ate o terminal rodoviario de cruzeiro?"
541,ARUJA (TERMINAL RODOVIARIO DE ARUJA),GUARULHOS (SHOPPING BONSUCESSO),"oi, como eu faco pra chegar em guarulhos saindo do terminal rodoaviario de arju?"
542,CARAPICUIBA (ALDEIA),SANTANA DE PARNAIBA (ALPHAVILLE 10),"oi, como eu faco pra sair da aldeia de carapicuiba e chegar em santana de paraniba?"
543,COTIA (JARDIM SANTA ISABEL),SAO PAULO (METRO MORUMBI),como eu faco pra chegar em sao paulo saindo de cotia?
549,ARUJA (MIRANTE),SAO PAULO (SAO MIGUEL PAULISTA),como eu faco pra ir do mirante ate sao paulo?
550,PIRAPORA DO BOM JESUS (JARDIM BOM JESUS),BARUERI (ALPHAVILLE 3 / BRADESCO),como eu faco pra ir do jardim bom jesus ate barruieri?
5501,SAO SEBASTIAO (TERMINAL RODOVIARIO DE SAO SEBASTIAO),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra chegar do terminal rodoviario de sao sebastiao em taubate?"
5503,SAO SEBASTIAO (TERMINAL RODOVIARIO DE SAO SEBASTIAO),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra chegar de sao sebastiao no terminal rodoviario de sao jose dos campos?"
5504,CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),"oi, como eu faco pra chegar em saao jose dos campos saindo do terminal rodoviario de caraguatatuba?"
5505,SAO SEBASTIAO (BALSA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),"oi, como eu faco pra chegar no terminal rodoviario de caraguattuba a partir de aqui?"
5506,UBATUBA (TERMINAL RODOVIARIO NAIM ELIAS ABDALLA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),"oi, como eu faco pra chegar no terminal rodoviario de caraguata do meu terminal rodoviario na ubatuba?"
5506DV1,UBATUBA (TERMINAL RODOVIARIO NAIM ELIAS ABDALLA),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),"oi, como eu faco pra sair do terminal rodoviario nain elias abdalla e chegar no terminal rodoviario de caraguatatuba?"
5508,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - LITORANEA),SAO JOSE DOS CAMPOS (TERMINAL RODOVIARIO FREDERICO OZANAM),como eu faco pra chegar em saao jose dos campos saindo do terminal rodoviario de ubatuba?
5509,NATIVIDADE DA SERRA (BAIRRO ALTO),CARAGUATATUBA (TERMINAL RODOVIARIO DE CARAGUATATUBA),"oi, como eu faco pra chegar em caraguatuuba saindo da natividade da serra?"
551,EMBU DAS ARTES (JARDIM MIMAS),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra sair de embu das artes (jardim mimas) e chegar em sao paulo (metro capao redondo)?"
5510,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - SAO JOSE),PINDAMONHANGABA (TERMINAL RODOVIARIO DE PINDAMONHANGABA),como eu faco pra chegar do terminal rodoaviario de ubatuba (sao jose) em pindamonhangaba?
5511,UBATUBA (TERMINAL RODOVIARIO DE UBATUBA - SAO JOSE),TAUBATE (TERMINAL RODOVIARIO NOVO DE TAUBATE),"oi, como eu faco pra sair do terminal rodoviario de ubatuba (terminal rodoviario de ubatuba - sao jose) e chegar em taubate?"
551VP1,EMBU DAS ARTES (JARDIM SANTA TEREZA),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra sair do embu das artes (jardim santa tereza) e chegar no sao paulo?"
552,GUARULHOS (PARQUE SANTOS DUMONT),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar do parque santos dumont em guarulhos ate o metro armenia?"
555,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA),como eu faco pra ir de guarulhos para sao paulo?
557,JANDIRA (JARDIM NOSSA SENHORA DE FATIMA),OSASCO (VILA YARA),como eu faco pra ir de jandira para osasco?
558,EMBU-GUACU (CHACARA FLORIDA),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra sair de embu-guacu e chegar no metro capao redondo?"
559,CARAPICUIBA (COHAB V),SANTANA DE PARNAIBA (TERMINAL RODOVIARIO ALPHAVILLE),"oi, como eu faco pra ir da carapicuiba (cohab v) ate santana de paranaiba?"
560,OSASCO (LARGO DE OSASCO),SAO PAULO (METRO ARMENIA),como eu faco pra chegar no metro armenia saindo de osasco?
563,EMBU-GUACU (VILA LOURO),SAO PAULO (METRO CAPAO REDONDO),"como eu faco pra chegar de embu-guacu em sao paulo, passando pelo metro capao redondo?"
564,SANTANA DE PARNAIBA (CENTRO),SAO PAULO (MORRO DOCE),"como eu faco pra ir de santana de parnaiba (centro) ate sao paulo, sao paulo?"
565,SANTANA DE PARNAIBA (CIDADE DE SAO PEDRO,GLEBA C) - SAO PAULO (LAPA),"oi, como eu faco pra chegar em lapao a partir de santana de paranaiba?"
566,MAIRIPORA (TERMINAL RODOVIARIO SIGUEMI AIACYDA),SAO PAULO (TERMINAL RODOVIARIO TIETE),"oi, como eu faco pra chegar no terminal rodoviario sigaime aiacyda saindo de maipora?"
568,ARUJA (VILA PEDROSO),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra ir de aruja pra sao paulo de onibus?"
572,OSASCO (JARDIM SANTA MARIA),SAO PAULO (METRO MORUMBI),como eu faco pra chegar no metro morumbi saindo do jardim santa maria?
573,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO CARRAO),"oi, como eu faco pra chegar no metro carrazo saindo de guarulhos?"
574,GUARULHOS (JARDIM CUMBICA),SAO PAULO (METRO CARRAO),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
578,GUARULHOS (VILA MOREIRA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo da vila moreira?"
579,OSASCO (VILA YOLANDA),BARUERI (ALPHAVILLE / GREEN VALLEY),"oi, como eu faco pra chegar em barueri saindo da vila yolanda?"
580,GUARULHOS (CIDADE SOBERANA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
581,OSASCO (TERMINAL METROPOLITANO LUIZ BORTOLOSSO - KM 21),COTIA (KM 24 - RODOVIA RAPOSO TAVARES),como eu faco pra ir do terminal metropolitano luiz bortolosso em osasco ate a cotia?
582,EMBU-GUACU (VILA DIRCE),SAO PAULO (CIPO DO MEIO),"oi, como eu faco pra chegar de embu-guacu (vila dirce) em sao paulo?"
584,GUARULHOS (PARQUE PRIMAVERA),SAO PAULO (METRO CARRAO),"oi, como eu faco pra chegar no parque primavera saindo de guarulhos?"
585,GUARULHOS (COCAIA),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
587,TABOAO DA SERRA (JARDIM MONTE ALEGRE),SAO PAULO (METRO CAMPO LIMPO),como eu faco pra ir de taboao da serra pra sao paulo?
588,GUARULHOS (VILA ANY),SAO PAULO (METRO ARMENIA),como eu faco pra chegar em sao paulo saindo de guarulhos?
589,POA (TERMINAL RODOVIARIO JARDIM SAO JOSE),SAO PAULO (PENHA),"oi, como eu faco pra ir do terminal rodoviario jardim sao jose pra sao paulo, penha?"
591,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA),"oi, como eu faco pra ir de guarulhos para sao paulo?"
591DV1,GUARULHOS (JARDIM PARAISO),SAO PAULO (METRO PENHA),"oi, como eu faco pra chegar em sao paulo saindo de guarulhos?"
596,GUARULHOS (VILA ANY),SAO PAULO (ESTACAO CPTM SAO MIGUEL PAULISTA),como eu faco pra chegar em saopaulo saindo da vila any?
597,GUARULHOS (VILA ANY),SAO PAULO (METRO BRAS),"oi, como eu faco pra chegar em sao paulo saindo de vila any?"
598,ARUJA (MIRANTE),GUARULHOS (JARDIM SANTA MENA),como eu faco pra chegar em guarulhos saindo de arju?
600,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (TERMINAL METROPOLITANO MAGALHAES TEIXEIRA),como eu faco pra chegar do terminal rodoviario vereador maurilio goncalves pinto em campinas?
601,INDAIATUBA (TERMINAL RODOVIARIO VEREADOR MAURILIO GONCALVES PINTO),CAMPINAS (TERMINAL METROPOLITANO MAGALHAES TEIXEIRA),como eu faco pra chegar no terminal rodoviario vereador maurilio goncalves pinto daqui de indaiatutaba e depois em campinas?
604,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do paulinia rodoviaria shopping ate o terminal metropolitano teixeira?
604DV1,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar na campinas, passando por paulinia?"
604EX1,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (SHOPPING PARQUE DOM PEDRO I),"como eu faco pra chegar em campinas, partindo de paulinia rodoviaria shopping?"
605,PAULINIA (PAULINIA RODOVIARIA SHOPPING),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas saindo de paulinia?"
606,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do terminal rodoviario de cosmo polis pra terminal metropolitano presidente magalhaes teixeira?
606DV1,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra ir do terminal rodoviario de cosmopolis pra campinas?
606EX1,ARTUR NOGUEIRA (CORACAO CRIANCA),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, passando pelo artur nogueira?"
607,COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),CAMPINAS (SHOPPING PARQUE DOM PEDRO I),"oi, como eu faco pra chegar em shopping parque pedro i saindo do terminal rodoviario de cosmopolis?"
608,COSMOPOLIS (VILA FONTANA),ENGENHEIRO COELHO (TERMINAL RODOVIARIO DE ENGENHEIRO COELHO),como eu faco pra chegar do vila fontana em engenheiro coelho?
609,PAULINIA (PAULINIA RODOVIARIA SHOPPING),COSMOPOLIS (TERMINAL RODOVIARIO DE COSMOPOLIS),como eu faco pra chegar no terminal rodoviario de cosmopolis a partir de paulinia rodoviaria shopping?
6101,BOITUVA (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar em sorocaba saindo de boituva?"
6104,CAPELA DO ALTO (JARDIM NOVA CAPELA),IPERO (CENTRO),"oi, como eu faco pra chegar do jardim nova capela ate o ipero?"
6105,SARAPUI (CENTRO),SOROCABA (CENTRO),como eu faco pra ir do centro para sorocaba?
6105EX1,SARAPUI (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir do sarapui em centro pra sorocaba?"
6105EX2,SARAPUI (CENTRO),SOROCABA (UNISO - UNIP - FACENS),como eu faco pra chegar do centro de sarapui em sorocaba?
6106,TIETE (CENTRO),CERQUILHO (JARDIM NOVA CERQUILHO),"oi, to em tiete (centro) e queria saber como chego no cerquilio, que fica perto aqui?"
6107,TIETE (CENTRO),CERQUILHO (JARDIM NOVA CERQUILHO),"como eu faco pra ir do tiete ate o cerquilha, nesse jardim?"
6108,TATUI (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir de tatui em centro para sorocaba?"
6108EX1,TATUI (CENTRO),SOROCABA (FACENS),"oi, como eu faco pra ir do centro para sorocaba?"
6108EX2,TATUI (CENTRO),SOROCABA (UNIP),"oi, to no tatui ate a sorocaba, e preciso saber como chegar la."
6108EX3,TATUI (CENTRO),SOROCABA (UNIP),"oi, como eu faco pra chegar do centro em sorocaba?"
6108EX4,CAPELA DO ALTO (CENTRO),TATUI (JARDIM AEROPORTO),"oi, como eu faco pra chegar na capela do alto (centro) e depois em tatui, no jardim aeroporto?"
6108VP2,TATUI (CENTRO),ARACOIABA DA SERRA (CENTRO),"oi, tudo bem? preciso saber como chego de tatui em aracoaiaba da serra, por favor."
6109,CESARIO LANGE (HARAS DO SUL),TIETE (CENTRO),como eu faco pra chegar no tiete saindo da cesario lange (haras do sul)?
6110,TATUI (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar no sorocaba saindo do tatui?"
6111,TATUI (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir do tatui em centro ate sorocaba?"
6113,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, como eu faco pra ir de itapetininga ate sorocaba?"
6114,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, to no terminal rodoviario de itapetininga e preciso saber como chegar em sorocaba."
6115,ITAPETININGA (TERMINAL RODOVIARIO DE ITAPETININGA),TATUI (TERMINAL RODOVIARIO DE TATUI),"oi, como eu faco pra ir do terminal rodoviario de itapetininga ate o terminal rodoviario de tatui?"
6116,SARAPUI (CENTRO),ITAPETININGA (CENTRO),"oi, como eu faco pra chegar em itapetinga saindo de sarapioup?"
612,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),como eu faco pra chegar no terminal metropolitano presidente teixeira saindo de jaguaruna (joao cassi) ?
612DV1,JAGUARIUNA (JOAO NASSIF),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra ir do jaguariuna em joao nassif para o terminal metropolitano presidente mendes?"
614,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),CAMPINAS (TERMINAL MULTIMODAL RAMOS AZEVEDO),"oi, como eu faco pra chegar de itatiba ate campinas?"
615,ITATIBA (TERMINAL RODOVIARIO ELIAS BAPTISTA ALVES),CAMPINAS (TERMINAL MULTIMODAL RAMOS DE AZEVEDO),como eu faco pra ir do terminal rodoviario elias batista alves ate a campinas?
616,PEDREIRA (JARDIM ANDRADE),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"como eu faco pra chegar na campinas, saindo da pedreira (jardim andrade)?"
617,JAGUARIUNA (CENTRO),HOLAMBRA (CENTRO),"oi, como eu faco pra ir de jaguariuna (centro) ate holambra (centro)?"
617DV1,JAGUARIUNA (CENTRO),HOLAMBRA (CENTRO),como eu faco pra ir de jaguariuna (centro) em holambra (centro)?
617PR1,JAGUARIUNA (VILA SAO JOSE),HOLAMBRA (CENTRO),"oi, como eu faco pra chegar de jaguariuna (vila sao jose) em holambra (centro)?"
618,SANTO ANTONIO DE POSSE (JARDIM SAO JUDAS),CAMPINAS (TERMINAL METROPOLITANO PREFEITO MAGALHAES TEIXEIRA),"oi, como eu faco pra chegar em campinas, saindo de santo antonio de posse?"
619,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CIDADE NOVA),"oi, como eu faco pra chegar do terminal rodoviario francisco luiz bendilatti em santa barbara d oeste?"
619EX1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (CIDADE NOVA),como eu faco pra chegar na santa barbara d oeste a partir da terminal metropolitano de americana?
620,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (JARDIM MOLLON),"oi, como eu faco pra chegar de americana (terminal rodoviario francisco luico luiz bendilatti ate santa barbara d oeste)?"
6201,PORTO FELIZ (CENTRO),SOROCABA (CENTRO),como eu faco pra ir de porto feliz (centro) para sorocaba (centro)?
6206,SALTO (CENTRO),ITU (CENTRO),"oi, como eu faco pra ir do centro para o itu?"
6207,SALTO (CENTRO),ITU (CENTRO),"oi, como eu faco pra chegar do centro ate o itu?"
6207VP1,SALTO (AVENIDA DOS TRABALHADORES),ITU (CENTRO),"oi, to na avenida dos trabalhadores e preciso saber como chegar no centro."
6208,SALTO (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra chegar do centro em sorocaba?"
6209,ITU (CENTRO),SOROCABA (CENTRO),preciso saber como chegar do itu para a sorocaba.
620EX1,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (JARDIM MOLLON),"oi, to no terminal metropolitano de america para ir ate santa barbara d oeste."
621,AMERICANA (TERMINAL RODOVIARIO FRANCISCO LUIZ BENDILATTI),SANTA BARBARA D OESTE (CONJ. HAB. ROBERTO ROMANO),"oi, como eu faco pra ir da terminal rodoviario francisco luiz bendil ate santa barbara d oeste?"
6211,IBIUNA (CENTRO),SOROCABA (TERMINAL RODOVIARIO DE SOROCABA),"oi, como eu faco pra ir de ibiuna ate o terminal rodoviario de sorocaba?"
6212,IBIUNA (CENTRO),PIEDADE (CENTRO),como eu faco pra ir do ibiuna ate a piedade?
6213,BOITUVA (CENTRO),TATUI (CENTRO),"oi, como eu faco pra chegar no centro de boa vista e depois no centro de tatu?"
6213EX1,PORTO FELIZ (CENTRO),BOITUVA (CENTRO),"oi, como eu faco pra chegar em boituva saindo de portos do rio?"
6213EX2,TATUI (CENTRO),BOITUVA (FACULDADE IFSP),"oi, como eu faco pra sair do terminal central e ir pra faculdade de educacao fisica?"
6214,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA),"oi, como eu faco pra chegar em sao roque saindo de mairinque?"
6215,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (JARDIM VILLACA),como eu faco pra chegar em sao roque saindo de maringque?
6216,MAIRINQUE (JARDIM CRUZEIRO),SAO ROQUE (CATARINA FASHION OUTLET),como eu faco pra sair de mairinque e ir pra sao roque?
6218,SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA),IBIUNA (CENTRO),"oi, como eu faco pra chegar em ibiuna saindo do terminal municipal aludes de souza?"
6219,SAO ROQUE (TERMINAL INTERMUNICIPAL ALCIDES DE SOUZA),ALUMINIO (BAIRRO PEDAGIO),como eu faco pra ir do terminal municipal alcidas de souza ate o bairro pedio?
622,AMERICANA (TERMINAL METROPOLITANO DE AMERICANA),SANTA BARBARA D OESTE (RODOTERMINAL DE STA BARBARA D OESTE),"oi, como eu faco pra chegar do terminal metropolitano de america ate a rodoterramal de santa barbara d'este?"
6220,ALUMINIO (BAIRRO PEDAGIO),SAO ROQUE (CATARINA FASHION OUTLET),"oi, como eu faco pra chegar em saao rocha do sul saindo de aliminio?"
6220EX1,SAO ROQUE (CENTRO),SAO ROQUE (CATARINA FASHION OUTLET),como eu faco pra chegar em sao roque a partir de sao roque?
6222,PORTO FELIZ (CENTRO),ITU (CENTRO),"oi, como eu faco pra chegar no itu do porto feliz?"
6222BI1,PORTO FELIZ (JARDIM VANTE),ITU (CENTRO),preciso saber como chegar de porto feliz (jardim vante) em itu.
6222BI2,PORTO FELIZ (VILA POPULAR),ITU (CENTRO),como eu faco pra ir de vila popular ate o centro?
6223,IBIUNA (CENTRO),PIEDADE (CENTRO),"oi, to em ibiuna (centro) e quero saber como chegar em piedade (centro)?"
6224,MAIRINQUE (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra pegar um onibus saindo de mairinque e indo para sorocaba?"
6224EX1,SAO ROQUE (CENTRO),SOROCABA (CENTRO),"oi, como eu faco pra ir de sao roque para sorocaba?"
